iteration,dataset,algorithm,support,time,memory
1,Chess,My Postdiffset,0.8,0.08352971076965332,9.6796875
1,Chess,My Postdiffset,0.9,0.02867889404296875,0.03515625
1,Chess,My Adv. Eclat,0.7,0.09889960289001465,29.0546875
1,Chess,My Adv. Eclat,0.8,0.03429818153381348,0.03125
1,Chess,My Adv. Eclat,0.9,0.011057138442993164,0.0234375
1,Chess,FIM Apriori,0.7,0.07631254196166992,8.20703125
1,Chess,FIM Apriori,0.8,0.023225069046020508,0.03125
1,Chess,FIM Apriori,0.9,0.004143953323364258,0.0234375
1,Chess,FIM Eclat,0.7,0.02993297576904297,6.96875
1,Chess,FIM Eclat,0.8,0.018803834915161133,0.03125
1,Chess,FIM Eclat,0.9,0.003919363021850586,0.0234375
1,Mushrooms,My Eclat,0.7,0.03594207763671875,2.65234375
1,Mushrooms,My Eclat,0.8,0.03289318084716797,0.0234375
1,Mushrooms,My Eclat,0.9,0.03212547302246094,0.0234375
1,Mushrooms,My Postdiffset,0.7,0.03297281265258789,0.0234375
1,Mushrooms,My Postdiffset,0.8,0.03198671340942383,0.0234375
1,Mushrooms,My Postdiffset,0.9,0.0314936637878418,0.0234375
1,Mushrooms,My Adv. Eclat,0.7,0.01851367950439453,0.0234375
1,Mushrooms,My Adv. Eclat,0.8,0.01834249496459961,0.0234375
1,Mushrooms,My Adv. Eclat,0.9,0.018051624298095703,0.0234375
1,Mushrooms,FIM Apriori,0.7,0.006753206253051758,0.0234375
1,Mushrooms,FIM Apriori,0.8,0.006613492965698242,0.0234375
1,Mushrooms,FIM Apriori,0.9,0.006567239761352539,0.01953125
1,Mushrooms,FIM Eclat,0.7,0.006902217864990234,0.0234375
1,Mushrooms,FIM Eclat,0.8,0.008189916610717773,0.0234375
1,Mushrooms,FIM Eclat,0.9,0.006800174713134766,0.0234375
2,Retail,My Eclat,0.1,0.29154467582702637,24.51171875
2,Retail,My Eclat,0.2,0.284975528717041,9.53515625
2,Retail,My Eclat,0.3,0.2859063148498535,9.03125
2,Retail,My Eclat,0.4,0.2895500659942627,9.01953125
2,Retail,My Eclat,0.5,0.2832629680633545,8.9140625
2,Retail,My Eclat,0.6,0.28215932846069336,8.8359375
2,Retail,My Eclat,0.7,0.28326845169067383,9.0078125
2,Retail,My Eclat,0.8,0.28130340576171875,8.86328125
2,Retail,My Eclat,0.9,0.29659366607666016,9.015625
2,Retail,My Postdiffset,0.1,0.2914590835571289,9.03515625
2,Retail,My Postdiffset,0.2,0.2891387939453125,9.01171875
2,Retail,My Postdiffset,0.3,0.3035261631011963,11.03515625
2,Retail,My Postdiffset,0.4,0.28835511207580566,9.03125
2,Retail,My Postdiffset,0.5,0.2845742702484131,8.859375
2,Retail,My Postdiffset,0.6,0.28615641593933105,8.88671875
2,Retail,My Postdiffset,0.7,0.2837636470794678,8.8125
2,Retail,My Postdiffset,0.8,0.28887295722961426,8.859375
2,Retail,My Postdiffset,0.9,0.28354835510253906,9.00390625
2,Retail,My Adv. Eclat,0.1,0.27042722702026367,150.1875
2,Retail,My Adv. Eclat,0.2,0.23149323463439941,0.31640625
2,Retail,My Adv. Eclat,0.3,0.23401856422424316,0.69921875
2,Retail,My Adv. Eclat,0.4,0.23249197006225586,0.07421875
2,Retail,My Adv. Eclat,0.5,0.2327251434326172,0.07421875
2,Retail,My Adv. Eclat,0.6,0.23188352584838867,0.07421875
2,Retail,My Adv. Eclat,0.7,0.23369359970092773,0.07421875
2,Retail,My Adv. Eclat,0.8,0.23130297660827637,0.07421875
2,Retail,My Adv. Eclat,0.9,0.2374725341796875,0.07421875
2,Retail,FIM Apriori,0.1,0.07719779014587402,1.4296875
2,Retail,FIM Apriori,0.2,0.07566285133361816,0.02734375
2,Retail,FIM Apriori,0.3,0.07563924789428711,0.0234375
2,Retail,FIM Apriori,0.4,0.07528543472290039,0.02734375
2,Retail,FIM Apriori,0.5,0.0737905502319336,0.0234375
2,Retail,FIM Apriori,0.6,0.0729217529296875,0.0234375
2,Retail,FIM Apriori,0.7,0.07192564010620117,0.046875
2,Retail,FIM Apriori,0.8,0.07194972038269043,0.0546875
2,Retail,FIM Apriori,0.9,0.07170557975769043,0.0234375
2,Retail,FIM Eclat,0.1,0.0773162841796875,0.0234375
2,Retail,FIM Eclat,0.2,0.07421588897705078,0.02734375
2,Retail,FIM Eclat,0.3,0.07468867301940918,0.0234375
2,Retail,FIM Eclat,0.4,0.07624578475952148,0.0234375
2,Retail,FIM Eclat,0.5,0.07732605934143066,0.02734375
2,Retail,FIM Eclat,0.6,0.07230257987976074,0.0234375
2,Retail,FIM Eclat,0.7,0.0722506046295166,0.0234375
2,Retail,FIM Eclat,0.8,0.07282757759094238,0.02734375
2,Retail,FIM Eclat,0.9,0.07167339324951172,0.0234375
2,Kosarak,My Eclat,0.1,2.890148162841797,431.0859375
2,Kosarak,My Eclat,0.2,2.8495051860809326,406.5078125
2,Kosarak,My Eclat,0.3,2.785792589187622,163.76953125
2,Kosarak,My Eclat,0.4,2.7074999809265137,155.515625
2,Kosarak,My Eclat,0.5,2.692579507827759,147.32421875
2,Kosarak,My Eclat,0.6,2.6874473094940186,147.32421875
2,Kosarak,My Eclat,0.7,2.715528964996338,147.3828125
2,Kosarak,My Eclat,0.8,2.684317111968994,147.25390625
2,Kosarak,My Eclat,0.9,2.7861335277557373,373.84375
2,Kosarak,My Postdiffset,0.1,2.7864575386047363,164.15625
2,Kosarak,My Postdiffset,0.2,2.7486660480499268,163.515625
2,Kosarak,My Postdiffset,0.3,2.75424861907959,163.390625
2,Kosarak,My Postdiffset,0.4,2.7379441261291504,155.38671875
2,Kosarak,My Postdiffset,0.5,2.6933188438415527,147.3828125
2,Kosarak,My Postdiffset,0.6,2.7135791778564453,147.3203125
2,Kosarak,My Postdiffset,0.7,2.7194502353668213,147.23046875
2,Kosarak,My Postdiffset,0.8,2.6917226314544678,147.3828125
2,Kosarak,My Postdiffset,0.9,2.7038064002990723,147.3203125
2,Kosarak,My Adv. Eclat,0.1,5.41325831413269,4650.328125
2,Kosarak,My Adv. Eclat,0.2,5.458009719848633,4871.83984375
2,Kosarak,My Adv. Eclat,0.3,5.527865409851074,4871.78515625
